poly_id,class,domain,sample,scene_time,product_id
Gl_08_R_28,Gl,08,R,2026-03-15T08:36:41+00:00,S1C_IW_SLC__1SDV_20260315T083641_20260315T083708_006772_00DAEF_380A-SLC
Gl_08_U_26,Gl,08,U,2026-03-15T08:36:41+00:00,S1C_IW_SLC__1SDV_20260315T083641_20260315T083708_006772_00DAEF_380A-SLC
Sv_03_R_113,Sv,03,R,2026-03-15T08:36:41+00:00,S1C_IW_SLC__1SDV_20260315T083641_20260315T083708_006772_00DAEF_380A-SLC
Sv_03_G_114,Sv,03,G,2026-03-15T08:37:06+00:00,S1C_IW_SLC__1SDV_20260315T083706_20260315T083733_006772_00DAEF_8168-SLC
Fo_09_U_76,Fo,09,U,2026-03-15T09:25:46+00:00,S1A_IW_SLC__1SDV_20260315T092546_20260315T092613_063636_07FFB2_10CE-SLC
Fo_09_W_75,Fo,09,W,2026-03-15T09:25:46+00:00,S1A_IW_SLC__1SDV_20260315T092546_20260315T092613_063636_07FFB2_10CE-SLC
Gl_09_R_88,Gl,09,R,2026-03-15T09:25:46+00:00,S1A_IW_SLC__1SDV_20260315T092546_20260315T092613_063636_07FFB2_10CE-SLC
Gl_09_U_86,Gl,09,U,2026-03-15T09:25:46+00:00,S1A_IW_SLC__1SDV_20260315T092546_20260315T092613_063636_07FFB2_10CE-SLC
Sv_09_B_82,Sv,09,B,2026-03-15T09:25:46+00:00,S1A_IW_SLC__1SDV_20260315T092546_20260315T092613_063636_07FFB2_10CE-SLC
Sv_09_G_84,Sv,09,G,2026-03-15T09:25:46+00:00,S1A_IW_SLC__1SDV_20260315T092546_20260315T092613_063636_07FFB2_10CE-SLC
Gl_09_G_89,Gl,09,G,2026-03-15T09:26:11+00:00,S1A_IW_SLC__1SDV_20260315T092611_20260315T092638_063636_07FFB2_FE09-SLC
Gl_09_W_85,Gl,09,W,2026-03-15T09:26:11+00:00,S1A_IW_SLC__1SDV_20260315T092611_20260315T092638_063636_07FFB2_FE09-SLC
Sv_11_W_140,Sv,11,W,2026-03-16T08:26:07+00:00,S1A_IW_SLC__1SDV_20260316T082607_20260316T082634_063650_080038_0AD5-SLC
Fo_06_G_64,Fo,06,G,2026-03-16T09:18:36+00:00,S1C_IW_SLC__1SDV_20260316T091836_20260316T091907_006787_00DB74_8F60-SLC
Fo_06_R_63,Fo,06,R,2026-03-16T09:18:36+00:00,S1C_IW_SLC__1SDV_20260316T091836_20260316T091907_006787_00DB74_8F60-SLC
Gl_06_G_74,Gl,06,G,2026-03-16T09:18:36+00:00,S1C_IW_SLC__1SDV_20260316T091836_20260316T091907_006787_00DB74_8F60-SLC
Gl_06_R_73,Gl,06,R,2026-03-16T09:18:36+00:00,S1C_IW_SLC__1SDV_20260316T091836_20260316T091907_006787_00DB74_8F60-SLC
Sv_06_W_65,Sv,06,W,2026-03-16T09:18:36+00:00,S1C_IW_SLC__1SDV_20260316T091836_20260316T091907_006787_00DB74_8F60-SLC
Sv_06_U_66,Sv,06,U,2026-03-16T09:19:05+00:00,S1C_IW_SLC__1SDV_20260316T091905_20260316T091932_006787_00DB74_DAE9-SLC
Fo_05_B_2,Fo,05,B,2026-03-17T08:20:13+00:00,S1C_IW_SLC__1SDV_20260317T082013_20260317T082044_006801_00DBF4_FE22-SLC
Fo_05_R_3,Fo,05,R,2026-03-17T08:20:13+00:00,S1C_IW_SLC__1SDV_20260317T082013_20260317T082044_006801_00DBF4_FE22-SLC
Fo_11_R_138,Fo,11,R,2026-03-17T08:20:13+00:00,S1C_IW_SLC__1SDV_20260317T082013_20260317T082044_006801_00DBF4_FE22-SLC
Gl_11_G_149,Gl,11,G,2026-03-17T08:20:13+00:00,S1C_IW_SLC__1SDV_20260317T082013_20260317T082044_006801_00DBF4_FE22-SLC
Sv_05_W_5,Sv,05,W,2026-03-17T08:20:13+00:00,S1C_IW_SLC__1SDV_20260317T082013_20260317T082044_006801_00DBF4_FE22-SLC
Sv_11_R_143,Sv,11,R,2026-03-17T08:20:13+00:00,S1C_IW_SLC__1SDV_20260317T082013_20260317T082044_006801_00DBF4_FE22-SLC
Fo_11_B_137,Fo,11,B,2026-03-17T08:20:42+00:00,S1C_IW_SLC__1SDV_20260317T082042_20260317T082109_006801_00DBF4_978E-SLC
Sv_09_R_83,Sv,09,R,2026-03-17T09:09:15+00:00,S1A_IW_SLC__1SDV_20260317T090915_20260317T090943_063665_0800C7_16FF-SLC
Fo_04_W_120,Fo,04,W,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Fo_06_B_62,Fo,06,B,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Fo_06_U_61,Fo,06,U,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Fo_06_W_60,Fo,06,W,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Gl_06_B_72,Gl,06,B,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Gl_06_U_71,Gl,06,U,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Gl_06_W_70,Gl,06,W,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Sv_06_R_68,Sv,06,R,2026-03-17T09:09:41+00:00,S1A_IW_SLC__1SDV_20260317T090941_20260317T091008_063665_0800C7_D78B-SLC
Fo_04_U_121,Fo,04,U,2026-03-17T09:10:31+00:00,S1A_IW_SLC__1SDV_20260317T091031_20260317T091052_063665_0800C7_C7E0-SLC
Sv_06_B_67,Sv,06,B,2026-03-17T09:10:31+00:00,S1A_IW_SLC__1SDV_20260317T091031_20260317T091052_063665_0800C7_C7E0-SLC
Sv_04_B_127,Sv,04,B,2026-03-18T09:01:55+00:00,S1C_IW_SLC__1SDV_20260318T090155_20260318T090226_006816_00DC7D_5F80-SLC
Sv_04_G_129,Sv,04,G,2026-03-18T09:01:55+00:00,S1C_IW_SLC__1SDV_20260318T090155_20260318T090226_006816_00DC7D_5F80-SLC
Gl_04_G_134,Gl,04,G,2026-03-18T09:02:24+00:00,S1C_IW_SLC__1SDV_20260318T090224_20260318T090251_006816_00DC7D_6B0C-SLC
Fo_02_B_92,Fo,02,B,2026-03-19T08:50:49+00:00,S1A_IW_SLC__1SDV_20260319T085049_20260319T085116_063694_0801C8_E0FD-SLC
Gl_02_G_104,Gl,02,G,2026-03-19T08:51:14+00:00,S1A_IW_SLC__1SDV_20260319T085114_20260319T085141_063694_0801C8_58F0-SLC
Fo_01_G_34,Fo,01,G,2026-03-19T08:51:39+00:00,S1A_IW_SLC__1SDV_20260319T085139_20260319T085206_063694_0801C8_3D0C-SLC
Fo_02_W_90,Fo,02,W,2026-03-19T08:51:39+00:00,S1A_IW_SLC__1SDV_20260319T085139_20260319T085206_063694_0801C8_3D0C-SLC
Gl_01_U_41,Gl,01,U,2026-03-19T08:51:39+00:00,S1A_IW_SLC__1SDV_20260319T085139_20260319T085206_063694_0801C8_3D0C-SLC
Gl_01_W_40,Gl,01,W,2026-03-19T08:51:39+00:00,S1A_IW_SLC__1SDV_20260319T085139_20260319T085206_063694_0801C8_3D0C-SLC
Sv_02_U_96,Sv,02,U,2026-03-19T08:51:39+00:00,S1A_IW_SLC__1SDV_20260319T085139_20260319T085206_063694_0801C8_3D0C-SLC
Sv_02_W_95,Sv,02,W,2026-03-19T08:51:39+00:00,S1A_IW_SLC__1SDV_20260319T085139_20260319T085206_063694_0801C8_3D0C-SLC
Fo_07_U_46,Fo,07,U,2026-03-19T08:52:04+00:00,S1A_IW_SLC__1SDV_20260319T085204_20260319T085231_063694_0801C8_18CE-SLC
Fo_07_W_45,Fo,07,W,2026-03-19T08:52:04+00:00,S1A_IW_SLC__1SDV_20260319T085204_20260319T085231_063694_0801C8_18CE-SLC
Gl_01_B_42,Gl,01,B,2026-03-19T08:52:04+00:00,S1A_IW_SLC__1SDV_20260319T085204_20260319T085231_063694_0801C8_18CE-SLC
Gl_01_R_43,Gl,01,R,2026-03-19T08:52:04+00:00,S1A_IW_SLC__1SDV_20260319T085204_20260319T085231_063694_0801C8_18CE-SLC
Sv_01_G_39,Sv,01,G,2026-03-19T08:52:04+00:00,S1A_IW_SLC__1SDV_20260319T085204_20260319T085231_063694_0801C8_18CE-SLC
Fo_01_B_32,Fo,01,B,2026-03-19T08:52:54+00:00,S1A_IW_SLC__1SDV_20260319T085254_20260319T085321_063694_0801C8_9DEE-SLC
Fo_07_B_47,Fo,07,B,2026-03-19T08:52:54+00:00,S1A_IW_SLC__1SDV_20260319T085254_20260319T085321_063694_0801C8_9DEE-SLC
Sv_07_U_51,Sv,07,U,2026-03-19T08:52:54+00:00,S1A_IW_SLC__1SDV_20260319T085254_20260319T085321_063694_0801C8_9DEE-SLC
Fo_01_U_31,Fo,01,U,2026-03-19T08:53:19+00:00,S1A_IW_SLC__1SDV_20260319T085319_20260319T085346_063694_0801C8_D4EB-SLC
Fo_03_W_105,Fo,03,W,2026-03-19T08:53:43+00:00,S1A_IW_SLC__1SDV_20260319T085343_20260319T085411_063694_0801C8_5740-SLC
Sv_04_W_125,Sv,04,W,2026-03-19T08:54:34+00:00,S1A_IW_SLC__1SDV_20260319T085434_20260319T085458_063694_0801C8_30BD-SLC
Gl_04_W_130,Gl,04,W,2026-03-20T08:46:39+00:00,S1C_IW_SLC__1SDV_20260320T084639_20260320T084706_006845_00DD6E_8674-SLC
Fo_11_W_135,Fo,11,W,2026-03-20T09:33:32+00:00,S1A_IW_SLC__1SDV_20260320T093332_20260320T093400_063709_080261_A9D5-SLC
Gl_11_R_148,Gl,11,R,2026-03-20T09:33:58+00:00,S1A_IW_SLC__1SDV_20260320T093358_20260320T093425_063709_080261_DBF6-SLC
Sv_11_B_142,Sv,11,B,2026-03-20T09:33:58+00:00,S1A_IW_SLC__1SDV_20260320T093358_20260320T093425_063709_080261_DBF6-SLC
Gl_09_B_87,Gl,09,B,2026-03-20T09:34:23+00:00,S1A_IW_SLC__1SDV_20260320T093423_20260320T093450_063709_080261_6DA1-SLC
Gl_11_B_147,Gl,11,B,2026-03-21T08:33:20+00:00,S1A_IW_SLC__1SDV_20260321T083320_20260321T083350_063723_0802EB_D8D3-SLC
Gl_11_U_146,Gl,11,U,2026-03-21T08:33:48+00:00,S1A_IW_SLC__1SDV_20260321T083348_20260321T083416_063723_0802EB_697E-SLC
Sv_02_R_98,Sv,02,R,2026-03-21T08:35:03+00:00,S1A_IW_SLC__1SDV_20260321T083503_20260321T083530_063723_0802EB_9ED8-SLC
Sv_11_U_141,Sv,11,U,2026-03-21T08:35:53+00:00,S1A_IW_SLC__1SDV_20260321T083553_20260321T083621_063723_0802EB_0291-SLC
Gl_02_R_103,Gl,02,R,2026-03-21T08:36:18+00:00,S1A_IW_SLC__1SDV_20260321T083618_20260321T083645_063723_0802EB_5867-SLC
Fo_04_G_124,Fo,04,G,2026-03-21T08:38:29+00:00,S1A_IW_SLC__1SDV_20260321T083829_20260321T083859_063723_0802EC_3B09-SLC
Fo_04_R_123,Fo,04,R,2026-03-21T08:38:29+00:00,S1A_IW_SLC__1SDV_20260321T083829_20260321T083859_063723_0802EC_3B09-SLC
Fo_08_B_17,Fo,08,B,2026-03-21T08:38:29+00:00,S1A_IW_SLC__1SDV_20260321T083829_20260321T083859_063723_0802EC_3B09-SLC
Gl_04_U_131,Gl,04,U,2026-03-21T08:38:57+00:00,S1A_IW_SLC__1SDV_20260321T083857_20260321T083924_063723_0802EC_43F3-SLC
Gl_05_R_13,Gl,05,R,2026-03-22T08:27:39+00:00,S1C_IW_SLC__1SDV_20260322T082739_20260322T082810_006874_00DE65_1F0F-SLC
Sv_02_G_99,Sv,02,G,2026-03-22T08:27:39+00:00,S1C_IW_SLC__1SDV_20260322T082739_20260322T082810_006874_00DE65_1F0F-SLC
