poly_id,class,domain,sample,scene_time,scene_name
Gl_02_B_102,Gl,02,B,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Gl_03_B_117,Gl,03,B,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Gl_03_G_119,Gl,03,G,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Gl_03_R_118,Gl,03,R,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Sv_01_R_38,Sv,01,R,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Sv_03_U_111,Sv,03,U,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Gl_08_B_27,Gl,08,B,2026-07-16T21:22:10+00:00,NISAR_L2_PR_GSLC_025_125_D_097_2005_SHSH_A_20260716T212210_20260716T212244_P05023_N_F_J_001
Gl_08_U_26,Gl,08,U,2026-07-16T21:22:10+00:00,NISAR_L2_PR_GSLC_025_125_D_097_2005_SHSH_A_20260716T212210_20260716T212244_P05023_N_F_J_001
Sv_03_W_110,Sv,03,W,2026-07-16T21:22:10+00:00,NISAR_L2_PR_GSLC_025_125_D_097_2005_SHSH_A_20260716T212210_20260716T212244_P05023_N_F_J_001
Fo_04_G_124,Fo,04,G,2026-07-16T21:22:43+00:00,NISAR_L2_PR_GSLC_025_125_D_098_2005_SHSH_M_20260716T212243_20260716T212318_P05023_N_F_J_001
Sv_03_G_114,Sv,03,G,2026-07-16T21:22:43+00:00,NISAR_L2_PR_GSLC_025_125_D_098_2005_SHSH_M_20260716T212243_20260716T212318_P05023_N_F_J_001
Fo_04_R_123,Fo,04,R,2026-07-16T21:23:17+00:00,NISAR_L2_PR_GSLC_025_125_D_099_4005_DHDH_A_20260716T212317_20260716T212356_P05023_N_F_J_001
Gl_04_U_131,Gl,04,U,2026-07-16T21:23:17+00:00,NISAR_L2_PR_GSLC_025_125_D_099_4005_DHDH_A_20260716T212317_20260716T212356_P05023_N_F_J_001
Gl_04_W_130,Gl,04,W,2026-07-16T21:24:24+00:00,NISAR_L2_PR_GSLC_025_125_D_101_4005_DHDH_A_20260716T212424_20260716T212459_P05023_N_F_J_001
Fo_06_G_64,Fo,06,G,2026-07-17T09:41:20+00:00,NISAR_L2_PR_GSLC_025_132_A_167_2005_DHDH_A_20260717T094120_20260717T094154_P05023_N_F_J_001
Fo_06_R_63,Fo,06,R,2026-07-17T09:41:20+00:00,NISAR_L2_PR_GSLC_025_132_A_167_2005_DHDH_A_20260717T094120_20260717T094154_P05023_N_F_J_001
Gl_06_G_74,Gl,06,G,2026-07-17T09:41:20+00:00,NISAR_L2_PR_GSLC_025_132_A_167_2005_DHDH_A_20260717T094120_20260717T094154_P05023_N_F_J_001
Gl_06_R_73,Gl,06,R,2026-07-17T09:41:20+00:00,NISAR_L2_PR_GSLC_025_132_A_167_2005_DHDH_A_20260717T094120_20260717T094154_P05023_N_F_J_001
Sv_06_U_66,Sv,06,U,2026-07-17T09:41:20+00:00,NISAR_L2_PR_GSLC_025_132_A_167_2005_DHDH_A_20260717T094120_20260717T094154_P05023_N_F_J_001
Sv_06_W_65,Sv,06,W,2026-07-17T09:41:20+00:00,NISAR_L2_PR_GSLC_025_132_A_167_2005_DHDH_A_20260717T094120_20260717T094154_P05023_N_F_J_001
Gl_09_B_87,Gl,09,B,2026-07-17T09:43:00+00:00,NISAR_L2_PR_GSLC_025_132_A_170_2005_DHDH_A_20260717T094300_20260717T094335_P05023_N_F_J_001
Fo_09_W_75,Fo,09,W,2026-07-17T09:43:34+00:00,NISAR_L2_PR_GSLC_025_132_A_171_2005_DHDH_A_20260717T094334_20260717T094408_P05023_N_F_J_001
Gl_09_U_86,Gl,09,U,2026-07-17T09:43:34+00:00,NISAR_L2_PR_GSLC_025_132_A_171_2005_DHDH_A_20260717T094334_20260717T094408_P05023_N_F_J_001
Gl_11_R_148,Gl,11,R,2026-07-17T09:43:34+00:00,NISAR_L2_PR_GSLC_025_132_A_171_2005_DHDH_A_20260717T094334_20260717T094408_P05023_N_F_J_001
Sv_09_B_82,Sv,09,B,2026-07-17T09:43:34+00:00,NISAR_L2_PR_GSLC_025_132_A_171_2005_DHDH_A_20260717T094334_20260717T094408_P05023_N_F_J_001
Sv_09_G_84,Sv,09,G,2026-07-17T09:43:34+00:00,NISAR_L2_PR_GSLC_025_132_A_171_2005_DHDH_A_20260717T094334_20260717T094408_P05023_N_F_J_001
Sv_11_B_142,Sv,11,B,2026-07-17T09:43:34+00:00,NISAR_L2_PR_GSLC_025_132_A_171_2005_DHDH_A_20260717T094334_20260717T094408_P05023_N_F_J_001
Fo_11_W_135,Fo,11,W,2026-07-17T09:44:07+00:00,NISAR_L2_PR_GSLC_025_132_A_172_2005_DHDH_A_20260717T094407_20260717T094442_P05023_N_F_J_001
Fo_08_B_17,Fo,08,B,2026-07-18T08:59:42+00:00,NISAR_L2_PR_GSLC_025_146_A_167_4005_DHDH_A_20260718T085942_20260718T090017_P05023_N_F_J_001
